#easy_tsv
#k: 0.03 
#R: 3400.0 
#displacement [nm] 	 #force [nN] 
0.0	1.0185639898217787e-05
1.0000475343831496	3.5175882145463607e-07
2.0000950687662993	-9.482122255308516e-06
3.0001426031494494	-1.9316003332071672e-05
4.0001901375325986	-7.537751707321304e-05
5.000237671915748	-0.00013157163332107018
6.000285206298899	-0.00018776574956892736
7.0003327406820475	-0.0001432330205588424
8.000380275065197	-9.812076563765218e-05
9.000427809448347	-5.300851071646195e-05
10.000475343831496	-7.038448404061791e-05
11.000522878214646	-8.830129666302553e-05
12.000570412597797	-0.00010621810928543317
13.000617946980945	-0.00010808523727703962
14.000665481364095	-0.0001097666147529202
15.000713015747243	-0.0001114479922288008
16.000760550130394	-6.894475065842489e-05
17.000808084513544	-2.580044263962484e-05
18.000855618896693	1.7343865379175077e-05
19.000903153279843	-1.1231879657295569e-05
20.000950687662993	-4.1059946182186225e-05
21.000998222046142	-7.088801270707697e-05
22.001045756429292	-4.817037637967871e-05
23.00109329081244	-2.437918342948085e-05
24.001140825195595	-5.879904792829785e-07
25.00118835957874	2.762100712553371e-06
26.00123589396189	5.633502927736473e-06
27.00128342834504	8.504905142919563e-06
28.00133096272819	-1.1237727669761633e-05
29.00137849711134	-3.1577881051749284e-05
30.001426031494486	-5.191803443373695e-05
31.001473565877642	-5.7795671188994416e-05
32.00152110026079	-6.324746147027193e-05
33.00156863464394	-6.869925175154946e-05
34.00161616902709	-7.237320367674776e-05
35.00166370341024	-7.598940256843935e-05
36.00171123779339	-7.960560146013095e-05
37.00175877217654	-4.477007315420221e-05
38.001806306559686	-8.567850528313026e-06
39.001853840942836	2.763437209757591e-05
40.001901375325986	4.1938369129321975e-05
41.00194890970914	5.539666909100341e-05
42.001996444092285	6.885496905268476e-05
43.002043978475434	6.781056541272208e-05
44.002091512858584	6.616119482886605e-05
45.002139047241734	6.451182424500999e-05
46.00218658162488	7.924141509812907e-06
47.00223411600803	-5.112627323564219e-05
48.00228165039119	-0.00011017668798109768
49.00232918477433	-7.407272913780003e-05
50.00237671915748	-3.340525883770901e-05
51.00242425354063	7.262211462382033e-06
52.00247178792378	4.559305512164264e-05
53.00251932230693	8.380447457022769e-05
54.00256685669008	0.00012201589401881275
55.00261439107323	0.0001168727751635268
56.00266192545638	0.00010937640203103787
57.00270945983953	0.000101880028898549
58.00275699422268	7.432103038635612e-05
59.002804528605836	4.560907051674759e-05
60.00285206298897	1.689711064713943e-05
61.00289959737213	2.2245806107474137e-07
62.002947131755285	-1.5721815481081785e-05
63.00299466613842	-3.1666089023238107e-05
64.00304220052158	-5.460102287655711e-05
65.00308973490473	-7.798268766421534e-05
66.00313726928788	-0.00010136435245187327
67.00318480367103	-8.687838977645087e-05
68.00323233805418	-6.98495644546294e-05
69.00327987243732	-5.282073913280818e-05
70.00332740682047	-1.2860586694603724e-05
71.00337494120362	2.8714358491736283e-05
72.00342247558677	7.028930367807684e-05
73.00347000996993	6.411844349924654e-05
74.00351754435307	5.442843201159746e-05
75.00356507873623	4.473842052394827e-05
76.00361261311937	8.454580617198926e-05
