#easy_tsv
#k: 0.032 
#R: 3400.0 
#displacement [nm] 	 #force [nN] 
0.0	4.6471413924343e-05
1.0000475343831496	4.675860082372048e-05
2.0000950687662993	4.704578772309797e-05
3.0001426031494494	4.733297462247546e-05
4.0001901375325986	-2.0367444666268095e-06
5.000237671915748	-5.154890282484819e-05
6.000285206298899	-0.00010106106118306961
7.0003327406820475	-7.836349786772394e-05
8.000380275065197	-5.52504802150924e-05
9.000427809448347	-3.213746256246086e-05
10.000475343831496	-4.52659779318511e-05
11.000522878214646	-5.870816590546745e-05
12.000570412597797	-7.215035387908382e-05
13.000617946980945	1.5704718326829877e-05
14.000665481364095	0.00010473215115868713
15.000713015747243	0.0001937595839905442
16.000760550130394	0.00011247318254080996
17.000808084513544	2.8715729235992455e-05
18.000855618896693	-5.5041724068824745e-05
19.000903153279843	3.207580465793915e-06
20.000950687662993	6.393649993050939e-05
21.000998222046142	0.00012466541939522505
22.001045756429292	8.540281998797417e-05
23.00109329081244	4.409730267341978e-05
24.001140825195595	2.7917853588653786e-06
25.00118835957874	5.0243383343984404e-05
26.00123589396189	9.97734922232689e-05
27.00128342834504	0.00014930360110255322
28.00133096272819	9.06514095504969e-05
29.00137849711134	2.914076528697308e-05
30.001426031494486	-3.236987897655076e-05
31.001473565877642	-5.556376694136849e-05
32.00152110026079	-7.762942418498541e-05
33.00156863464394	-9.96950814286023e-05
34.00161616902709	-6.69305381665912e-05
35.00166370341024	-3.2384837244125734e-05
36.00171123779339	2.1608636783397408e-06
37.00175877217654	-3.1793404057187283e-06
38.001806306559686	-9.937213962431318e-06
39.001853840942836	-1.6695087519143864e-05
40.001901375325986	-2.208238715808207e-05
41.00194890970914	-2.7416756008560496e-05
42.001996444092285	-3.275112485903889e-05
43.002043978475434	-7.80695860046812e-05
44.002091512858584	-0.00012505594679059569
45.002139047241734	-0.00017204230757651045
46.00218658162488	-8.399150384648305e-05
47.00223411600803	1.0112641069414224e-05
48.00228165039119	0.00010421678598531213
49.00232918477433	4.652121882133358e-05
50.00237671915748	-1.845451528702944e-05
51.00242425354063	-8.343024939539243e-05
52.00247178792378	-9.07438285868574e-05
53.00251932230693	-9.511031421341343e-05
54.00256685669008	-9.947679983996944e-05
55.00261439107323	-8.003351868539232e-05
56.00266192545638	-5.9297859899569415e-05
57.00270945983953	-3.856220111374664e-05
58.00275699422268	1.66805132589644e-05
59.002804528605836	7.390628323366687e-05
60.00285206298897	0.0001311320532083686
61.00289959737213	5.803266466207068e-05
62.002947131755285	-2.2974369874778426e-05
63.00299466613842	-0.00010398140441162644
64.00304220052158	-0.00010095523194498705
65.00308973490473	-9.255900408883784e-05
66.00313726928788	-8.416277623268873e-05
67.00318480367103	-8.250236020829354e-05
68.00323233805418	-8.129426310239513e-05
69.00327987243732	-8.008616599649675e-05
70.00332740682047	-2.7280345898623017e-05
71.00337494120362	2.915891540764171e-05
72.00342247558677	8.559817671390718e-05
73.00347000996993	7.621563382558304e-05
