#easy_tsv
#k: 0.032 
#R: 3400.0 
#displacement [nm] 	 #force [nN] 
0.0	0.00011382169134455146
1.0000475343831496	9.451578750466125e-05
2.0000950687662993	7.520988366477101e-05
3.0001426031494494	5.590397982488079e-05
4.0001901375325986	-1.9440944207815975e-05
5.000237671915748	-9.494661440299546e-05
6.000285206298899	-0.00017045228459817505
7.0003327406820475	-0.00011228660305210707
8.000380275065197	-5.335185133702758e-05
9.000427809448347	5.5829003780519035e-06
10.000475343831496	-5.277445544115961e-05
11.000522878214646	-0.00011214698136377417
12.000570412597797	-0.00017151950728638884
13.000617946980945	-0.00015123609504094746
14.000665481364095	-0.00013003078732305883
15.000713015747243	-0.00010882547960517022
16.000760550130394	-6.619205641978477e-05
17.000808084513544	-2.3247736678636556e-05
18.000855618896693	1.969658306251152e-05
19.000903153279843	-4.1945309766273173e-07
20.000950687662993	-2.1636601644100572e-05
21.000998222046142	-4.2853750190538485e-05
22.001045756429292	-2.6595099219831927e-05
23.00109329081244	-9.570783492876168e-06
24.001140825195595	7.453532234079596e-06
25.00118835957874	-1.7608131789560267e-05
26.00123589396189	-4.365536375451833e-05
27.00128342834504	-6.97025957194763e-05
28.00133096272819	-8.595125299939833e-05
29.00137849711134	-0.00010194100690727807
30.001426031494486	-0.00011793076081515781
31.001473565877642	-9.751291857782975e-05
32.00152110026079	-7.602306053269516e-05
33.00156863464394	-5.453320248756057e-05
34.00161616902709	-9.630498599267382e-05
35.00166370341024	-0.0001401318223048359
36.00171123779339	-0.00018395865861699798
37.00175877217654	-0.00012684532877805212
38.001806306559686	-6.614427059011512e-05
39.001853840942836	-5.4432124021785585e-06
40.001901375325986	4.295376291251253e-05
41.00194890970914	9.087556151523692e-05
42.001996444092285	0.00013879736011796097
43.002043978475434	8.688080826098826e-05
44.002091512858584	3.079959142705828e-05
45.002139047241734	-2.5281625406872063e-05
46.00218658162488	-4.464796998070631e-06
47.00223411600803	1.9799157289368146e-05
48.00228165039119	4.406311157680709e-05
49.00232918477433	3.034452229016112e-05
50.00237671915748	1.4804327057080985e-05
51.00242425354063	-7.358681759991446e-07
52.00247178792378	2.2113854447316046e-05
53.00251932230693	4.692567300747246e-05
54.00256685669008	7.173749156762887e-05
55.00261439107323	9.295384824635884e-05
56.00266192545638	0.00011397504574724965
57.00270945983953	0.00013499624324814032
58.00275699422268	0.00014733491190261876
59.002804528605836	0.000159174611949794
60.00285206298897	0.0001710143119969691
61.00289959737213	0.00013821811483511671
62.002947131755285	0.00010271357741413665
63.00299466613842	6.720903999315705e-05
64.00304220052158	8.480886226954056e-05
65.00308973490473	0.00010580226386019989
66.00313726928788	0.00012679566545085893
67.00318480367103	0.00010840394918272733
68.00323233805418	8.736746872584939e-05
69.00327987243732	6.633098826897173e-05
70.00332740682047	8.939940455987359e-05
71.00337494120362	0.00011557362746476404
72.00342247558677	0.00014174785036965486
73.00347000996993	0.00012444693564499652
74.00351754435307	0.00010394164335627891
75.00356507873623	8.343635106756101e-05
76.00361261311937	4.276564378535341e-05
77.00366014750252	5.419257811534602e-07
78.00370768188567	-4.168179222304706e-05
79.00375521626883	-1.6496856287680525e-05
80.00380275065197	1.4103799765912508e-05
81.00385028503513	4.470445581950594e-05
82.00389781941828	1.2171906796879838e-05
83.00394535380141	-2.5644278166024076e-05
84.00399288818457	-6.346046312892848e-05
85.00404042256771	-3.384478484292158e-05
86.00408795695087	1.6414965830552506e-06
87.00413549133403	3.712777800903209e-05
88.00418302571717	6.442744285399096e-05
89.00423056010032	9.098662583592036e-05
90.00427809448347	0.00011754580881784975
91.00432562886661	5.832899690603413e-05
92.00437316324977	-8.938923264847524e-06
93.00442069763292	-7.620684343572921e-05
94.00446823201607	-8.876803484777327e-05
95.00451576639922	-9.600652600208538e-05
96.00456330078238	-0.00010324501715639748
97.00461083516551	-5.2961994784425946e-05
98.00465836954866	3.116315982239432e-06
99.00470590393181	5.9194626748904053e-05
100.00475343831496	3.959993499303107e-05
101.00480097269812	1.2118109938389177e-05
102.00484850708126	-1.5363715116252352e-05
103.00489604146442	-6.179413462177201e-06
104.00494357584756	6.954751480115414e-06
105.0049911102307	2.008891642240785e-05
106.00503864461386	5.373035064752671e-05
107.00508617899702	8.965313628553908e-05
108.00513371338016	0.00012557592192355099
109.00518124776332	8.666296741325171e-05
110.00522878214646	3.915967092843748e-05
111.00527631652962	-8.343625556377377e-06
112.00532385091276	-3.0570894312398225e-05
113.0053713852959	-4.980661185980316e-05
114.00541891967906	-6.904232940720835e-05
115.00546645406222	-5.045891557175395e-05
116.00551398844536	-2.726368028838196e-05
117.00556152282851	-4.068445005009656e-06
118.00560905721167	-2.3545698309936354e-05
119.0056565915948	-4.8380743407250805e-05
120.00570412597794	-7.321578850456524e-05
121.00575166036111	-3.6577260150754724e-05
122.00579919474426	8.00312630125324e-06
123.0058467291274	5.258351275326119e-05
124.00589426351057	6.539684094423089e-05
125.00594179789371	7.398990652096054e-05
126.00598933227684	8.258297209769019e-05
127.00603686666001	4.94106956831268e-05
128.00608440104315	1.0536074644599323e-05
129.0061319354263	-2.8338546393928148e-05
130.00617946980947	-4.9171670126305135e-05
131.0062270041926	-6.747466139543858e-05
132.00627453857575	-8.577765266457202e-05
133.0063220729589	-0.000132351483372
134.00636960734207	-0.00018299548196097098
135.0064171417252	-0.0002336394805499419
136.00646467610835	-0.00017748313554048488
137.0065122104915	-0.0001055496071841586
138.00655974487464	-3.36160788278323e-05
139.00660727925782	8.609779134391836e-06
140.00665481364095	4.6334743106279026e-05
141.0067023480241	8.405970707816623e-05
142.00674988240723	4.973005937544605e-05
143.00679741679042	4.209518408543061e-06
144.00684495117355	-4.131102255835872e-05
145.00689248555668	-9.7202229341897e-06
146.00694001993986	3.4142202520868984e-05
147.006987554323	7.800462797592653e-05
148.00703508870615	4.7237606554342115e-05
149.0070826230893	4.306171165098689e-06
150.00713015747246	-3.862526422414359e-05
151.0071776918556	-6.556500360748203e-05
152.00722522623875	-8.983606300754207e-05
153.0072727606219	-0.00011410712240760145
154.00732029500503	-7.39642037231777e-05
155.00736782938822	-2.282023390127626e-05
156.00741536377134	2.832373592062384e-05
157.0074628981545	2.8887711267291893e-05
158.00751043253766	2.061432155397519e-05
159.00755796692079	1.2340931840658706e-05
160.00760550130394	-3.7002030894591866e-05
161.0076530356871	-9.368334365337793e-05
162.00770057007026	-0.0001503646564121625
163.00774810445338	-9.983841729095281e-05
164.00779563883657	-2.9728776507706368e-05
165.0078431732197	4.038086427553823e-05
166.00789070760283	3.37095727894237e-05
167.00793824198598	1.2704635768959242e-05
168.00798577636914	-8.300301251505773e-06
169.0080333107523	-1.96391656910841e-05
170.00808084513542	-2.9134478652213042e-05
171.0081283795186	-3.8629791613342245e-05
